RUN	pokemonapi.PokemonApiTest	pokemonapitest	1727378194473	 	3.11.3
REQUEST		Get Pikachu	1727378196812	1727378197191	OK	 
USER	Pokemon API Test	END	1727378197194
USER	Pokemon API Test	START	1727378197194
REQUEST		Get Pikachu	1727378197018	1727378197350	OK	 
USER	Pokemon API Test	END	1727378197353
USER	Pokemon API Test	START	1727378197353
REQUEST		Get Pikachu	1727378196881	1727378197495	OK	 
USER	Pokemon API Test	END	1727378197497
USER	Pokemon API Test	START	1727378197497
REQUEST		Get Pikachu	1727378196816	1727378197641	OK	 
USER	Pokemon API Test	END	1727378197644
USER	Pokemon API Test	START	1727378197645
REQUEST		Get Pikachu	1727378197195	1727378197666	OK	 
USER	Pokemon API Test	END	1727378197671
USER	Pokemon API Test	START	1727378197672
REQUEST		Get Pikachu	1727378197181	1727378197671	OK	 
USER	Pokemon API Test	END	1727378197675
USER	Pokemon API Test	START	1727378197675
REQUEST		Get Pikachu	1727378197497	1727378197800	OK	 
USER	Pokemon API Test	END	1727378197802
USER	Pokemon API Test	START	1727378197802
REQUEST		Get Pikachu	1727378197354	1727378197886	OK	 
USER	Pokemon API Test	END	1727378197892
USER	Pokemon API Test	START	1727378197892
REQUEST		Get Pikachu	1727378197645	1727378198050	OK	 
USER	Pokemon API Test	END	1727378198053
USER	Pokemon API Test	START	1727378198053
REQUEST		Get Pikachu	1727378197672	1727378198084	OK	 
REQUEST		Get Pikachu	1727378197675	1727378198084	OK	 
USER	Pokemon API Test	END	1727378198090
USER	Pokemon API Test	END	1727378198090
USER	Pokemon API Test	START	1727378198090
USER	Pokemon API Test	START	1727378198090
REQUEST		Get Pikachu	1727378197803	1727378198124	OK	 
USER	Pokemon API Test	END	1727378198128
USER	Pokemon API Test	START	1727378198128
REQUEST		Get Pikachu	1727378197893	1727378198135	OK	 
USER	Pokemon API Test	END	1727378198136
USER	Pokemon API Test	START	1727378198136
REQUEST		Get Pikachu	1727378198137	1727378198413	OK	 
USER	Pokemon API Test	END	1727378198417
USER	Pokemon API Test	START	1727378198417
REQUEST		Get Pikachu	1727378198090	1727378198460	OK	 
USER	Pokemon API Test	END	1727378198469
USER	Pokemon API Test	START	1727378198469
REQUEST		Get Pikachu	1727378198090	1727378198484	OK	 
REQUEST		Get Pikachu	1727378198129	1727378198484	OK	 
USER	Pokemon API Test	END	1727378198487
USER	Pokemon API Test	END	1727378198487
USER	Pokemon API Test	START	1727378198488
USER	Pokemon API Test	START	1727378198488
REQUEST		Get Pikachu	1727378198418	1727378198736	OK	 
USER	Pokemon API Test	END	1727378198739
USER	Pokemon API Test	START	1727378198739
REQUEST		Get Pikachu	1727378198054	1727378198843	OK	 
USER	Pokemon API Test	END	1727378198846
USER	Pokemon API Test	START	1727378198846
REQUEST		Get Pikachu	1727378198469	1727378198865	OK	 
USER	Pokemon API Test	END	1727378198868
USER	Pokemon API Test	START	1727378198868
REQUEST		Get Pikachu	1727378198488	1727378198867	OK	 
USER	Pokemon API Test	END	1727378198871
USER	Pokemon API Test	START	1727378198871
REQUEST		Get Pikachu	1727378198740	1727378199051	OK	 
USER	Pokemon API Test	END	1727378199053
USER	Pokemon API Test	START	1727378199053
REQUEST		Get Pikachu	1727378198847	1727378199192	OK	 
USER	Pokemon API Test	END	1727378199195
USER	Pokemon API Test	START	1727378199195
REQUEST		Get Pikachu	1727378198869	1727378199224	OK	 
REQUEST		Get Pikachu	1727378198871	1727378199224	OK	 
USER	Pokemon API Test	END	1727378199228
USER	Pokemon API Test	END	1727378199228
USER	Pokemon API Test	START	1727378199228
USER	Pokemon API Test	START	1727378199228
REQUEST		Get Pikachu	1727378199053	1727378199345	OK	 
USER	Pokemon API Test	END	1727378199348
USER	Pokemon API Test	START	1727378199349
REQUEST		Get Pikachu	1727378198488	1727378199392	OK	 
USER	Pokemon API Test	END	1727378199397
USER	Pokemon API Test	START	1727378199397
REQUEST		Get Pikachu	1727378199196	1727378199409	OK	 
USER	Pokemon API Test	END	1727378199411
USER	Pokemon API Test	START	1727378199411
REQUEST		Get Pikachu	1727378199228	1727378199504	OK	 
USER	Pokemon API Test	END	1727378199507
USER	Pokemon API Test	START	1727378199508
REQUEST		Get Pikachu	1727378199228	1727378199540	OK	 
USER	Pokemon API Test	END	1727378199543
USER	Pokemon API Test	START	1727378199543
REQUEST		Get Pikachu	1727378199411	1727378199607	OK	 
USER	Pokemon API Test	END	1727378199608
USER	Pokemon API Test	START	1727378199608
REQUEST		Get Pikachu	1727378199349	1727378199678	OK	 
USER	Pokemon API Test	END	1727378199681
USER	Pokemon API Test	START	1727378199681
REQUEST		Get Pikachu	1727378199398	1727378199713	OK	 
USER	Pokemon API Test	END	1727378199716
USER	Pokemon API Test	START	1727378199716
REQUEST		Get Pikachu	1727378199508	1727378199790	OK	 
USER	Pokemon API Test	END	1727378199794
USER	Pokemon API Test	START	1727378199794
REQUEST		Get Pikachu	1727378199544	1727378199900	OK	 
USER	Pokemon API Test	END	1727378199903
USER	Pokemon API Test	START	1727378199903
REQUEST		Get Pikachu	1727378199609	1727378199940	OK	 
USER	Pokemon API Test	END	1727378199944
USER	Pokemon API Test	START	1727378199944
REQUEST		Get Pikachu	1727378199717	1727378199967	OK	 
USER	Pokemon API Test	END	1727378199968
USER	Pokemon API Test	START	1727378199968
REQUEST		Get Pikachu	1727378199794	1727378200063	OK	 
USER	Pokemon API Test	END	1727378200069
USER	Pokemon API Test	START	1727378200069
REQUEST		Get Pikachu	1727378199969	1727378200234	OK	 
USER	Pokemon API Test	END	1727378200237
USER	Pokemon API Test	START	1727378200238
REQUEST		Get Pikachu	1727378199904	1727378200247	OK	 
USER	Pokemon API Test	END	1727378200250
USER	Pokemon API Test	START	1727378200251
REQUEST		Get Pikachu	1727378200070	1727378200285	OK	 
USER	Pokemon API Test	END	1727378200286
USER	Pokemon API Test	START	1727378200286
REQUEST		Get Pikachu	1727378199944	1727378200314	OK	 
USER	Pokemon API Test	END	1727378200322
USER	Pokemon API Test	START	1727378200322
REQUEST		Get Pikachu	1727378199682	1727378200499	OK	 
USER	Pokemon API Test	END	1727378200502
USER	Pokemon API Test	START	1727378200503
REQUEST		Get Pikachu	1727378200238	1727378200548	OK	 
USER	Pokemon API Test	END	1727378200550
USER	Pokemon API Test	START	1727378200551
REQUEST		Get Pikachu	1727378200251	1727378200583	OK	 
USER	Pokemon API Test	END	1727378200586
USER	Pokemon API Test	START	1727378200586
REQUEST		Get Pikachu	1727378200322	1727378200616	OK	 
USER	Pokemon API Test	END	1727378200618
USER	Pokemon API Test	START	1727378200618
REQUEST		Get Pikachu	1727378200286	1727378200625	OK	 
USER	Pokemon API Test	END	1727378200627
USER	Pokemon API Test	START	1727378200627
REQUEST		Get Pikachu	1727378200503	1727378200758	OK	 
USER	Pokemon API Test	END	1727378200759
USER	Pokemon API Test	START	1727378200759
REQUEST		Get Pikachu	1727378200551	1727378200861	OK	 
USER	Pokemon API Test	END	1727378200863
USER	Pokemon API Test	START	1727378200863
REQUEST		Get Pikachu	1727378200627	1727378200981	OK	 
USER	Pokemon API Test	END	1727378200984
USER	Pokemon API Test	START	1727378200984
REQUEST		Get Pikachu	1727378200619	1727378201000	OK	 
USER	Pokemon API Test	END	1727378201002
USER	Pokemon API Test	START	1727378201002
REQUEST		Get Pikachu	1727378200587	1727378201013	OK	 
USER	Pokemon API Test	END	1727378201015
USER	Pokemon API Test	START	1727378201015
REQUEST		Get Pikachu	1727378200760	1727378201025	OK	 
USER	Pokemon API Test	END	1727378201026
USER	Pokemon API Test	START	1727378201026
REQUEST		Get Pikachu	1727378200863	1727378201135	OK	 
USER	Pokemon API Test	END	1727378201138
USER	Pokemon API Test	START	1727378201138
REQUEST		Get Pikachu	1727378201027	1727378201234	OK	 
USER	Pokemon API Test	END	1727378201234
USER	Pokemon API Test	START	1727378201235
REQUEST		Get Pikachu	1727378201016	1727378201306	OK	 
USER	Pokemon API Test	END	1727378201309
USER	Pokemon API Test	START	1727378201309
REQUEST		Get Pikachu	1727378201002	1727378201320	OK	 
USER	Pokemon API Test	END	1727378201323
USER	Pokemon API Test	START	1727378201323
REQUEST		Get Pikachu	1727378200984	1727378201348	OK	 
USER	Pokemon API Test	END	1727378201351
USER	Pokemon API Test	START	1727378201351
REQUEST		Get Pikachu	1727378201138	1727378201511	OK	 
USER	Pokemon API Test	END	1727378201515
USER	Pokemon API Test	START	1727378201516
REQUEST		Get Pikachu	1727378201351	1727378201564	OK	 
USER	Pokemon API Test	END	1727378201565
USER	Pokemon API Test	START	1727378201565
REQUEST		Get Pikachu	1727378201235	1727378201579	OK	 
USER	Pokemon API Test	END	1727378201581
USER	Pokemon API Test	START	1727378201581
REQUEST		Get Pikachu	1727378201323	1727378201595	OK	 
USER	Pokemon API Test	END	1727378201597
USER	Pokemon API Test	START	1727378201597
REQUEST		Get Pikachu	1727378201310	1727378201635	OK	 
USER	Pokemon API Test	END	1727378201638
USER	Pokemon API Test	START	1727378201638
REQUEST		Get Pikachu	1727378201516	1727378201802	OK	 
USER	Pokemon API Test	END	1727378201807
USER	Pokemon API Test	START	1727378201808
REQUEST		Get Pikachu	1727378201639	1727378201847	OK	 
USER	Pokemon API Test	END	1727378201848
USER	Pokemon API Test	START	1727378201849
REQUEST		Get Pikachu	1727378201597	1727378201885	OK	 
USER	Pokemon API Test	END	1727378201888
USER	Pokemon API Test	START	1727378201888
REQUEST		Get Pikachu	1727378201566	1727378201896	OK	 
USER	Pokemon API Test	END	1727378201899
USER	Pokemon API Test	START	1727378201899
REQUEST		Get Pikachu	1727378201582	1727378201900	OK	 
USER	Pokemon API Test	END	1727378201905
USER	Pokemon API Test	START	1727378201905
REQUEST		Get Pikachu	1727378201808	1727378202075	OK	 
USER	Pokemon API Test	END	1727378202078
USER	Pokemon API Test	START	1727378202078
REQUEST		Get Pikachu	1727378201906	1727378202131	OK	 
USER	Pokemon API Test	END	1727378202132
USER	Pokemon API Test	START	1727378202132
REQUEST		Get Pikachu	1727378201849	1727378202213	OK	 
REQUEST		Get Pikachu	1727378201900	1727378202213	OK	 
USER	Pokemon API Test	END	1727378202218
USER	Pokemon API Test	END	1727378202218
USER	Pokemon API Test	START	1727378202218
USER	Pokemon API Test	START	1727378202218
REQUEST		Get Pikachu	1727378201888	1727378202218	OK	 
USER	Pokemon API Test	END	1727378202220
USER	Pokemon API Test	START	1727378202220
REQUEST		Get Pikachu	1727378202079	1727378202406	OK	 
USER	Pokemon API Test	END	1727378202408
USER	Pokemon API Test	START	1727378202408
REQUEST		Get Pikachu	1727378202220	1727378202427	OK	 
USER	Pokemon API Test	END	1727378202428
USER	Pokemon API Test	START	1727378202428
REQUEST		Get Pikachu	1727378202132	1727378202477	OK	 
USER	Pokemon API Test	END	1727378202479
USER	Pokemon API Test	START	1727378202480
REQUEST		Get Pikachu	1727378202218	1727378202500	OK	 
USER	Pokemon API Test	END	1727378202502
USER	Pokemon API Test	START	1727378202503
REQUEST		Get Pikachu	1727378202218	1727378202569	OK	 
USER	Pokemon API Test	END	1727378202573
USER	Pokemon API Test	START	1727378202573
REQUEST		Get Pikachu	1727378202408	1727378202775	OK	 
USER	Pokemon API Test	END	1727378202778
USER	Pokemon API Test	START	1727378202778
REQUEST		Get Pikachu	1727378202429	1727378202825	OK	 
USER	Pokemon API Test	END	1727378202827
USER	Pokemon API Test	START	1727378202828
REQUEST		Get Pikachu	1727378202480	1727378202830	OK	 
USER	Pokemon API Test	END	1727378202832
USER	Pokemon API Test	START	1727378202832
REQUEST		Get Pikachu	1727378202503	1727378202902	OK	 
USER	Pokemon API Test	END	1727378202905
USER	Pokemon API Test	START	1727378202905
REQUEST		Get Pikachu	1727378202778	1727378203068	OK	 
USER	Pokemon API Test	END	1727378203071
USER	Pokemon API Test	START	1727378203071
REQUEST		Get Pikachu	1727378202573	1727378203111	OK	 
USER	Pokemon API Test	END	1727378203113
USER	Pokemon API Test	START	1727378203113
REQUEST		Get Pikachu	1727378202828	1727378203184	OK	 
USER	Pokemon API Test	END	1727378203187
USER	Pokemon API Test	START	1727378203187
REQUEST		Get Pikachu	1727378202905	1727378203190	OK	 
REQUEST		Get Pikachu	1727378202832	1727378203190	OK	 
USER	Pokemon API Test	END	1727378203192
USER	Pokemon API Test	END	1727378203192
USER	Pokemon API Test	START	1727378203192
USER	Pokemon API Test	START	1727378203192
REQUEST		Get Pikachu	1727378203071	1727378203307	OK	 
USER	Pokemon API Test	END	1727378203309
USER	Pokemon API Test	START	1727378203309
REQUEST		Get Pikachu	1727378203113	1727378203399	OK	 
USER	Pokemon API Test	END	1727378203401
USER	Pokemon API Test	START	1727378203401
REQUEST		Get Pikachu	1727378203192	1727378203460	OK	 
USER	Pokemon API Test	END	1727378203462
USER	Pokemon API Test	START	1727378203463
REQUEST		Get Pikachu	1727378203192	1727378203510	OK	 
USER	Pokemon API Test	END	1727378203512
USER	Pokemon API Test	START	1727378203513
REQUEST		Get Pikachu	1727378203310	1727378203551	OK	 
USER	Pokemon API Test	END	1727378203552
USER	Pokemon API Test	START	1727378203552
REQUEST		Get Pikachu	1727378203188	1727378203580	OK	 
USER	Pokemon API Test	END	1727378203582
USER	Pokemon API Test	START	1727378203582
REQUEST		Get Pikachu	1727378203401	1727378203684	OK	 
USER	Pokemon API Test	END	1727378203690
USER	Pokemon API Test	START	1727378203690
REQUEST		Get Pikachu	1727378203583	1727378203797	OK	 
USER	Pokemon API Test	END	1727378203798
USER	Pokemon API Test	START	1727378203798
REQUEST		Get Pikachu	1727378203513	1727378203857	OK	 
USER	Pokemon API Test	END	1727378203862
USER	Pokemon API Test	START	1727378203864
REQUEST		Get Pikachu	1727378203552	1727378203861	OK	 
USER	Pokemon API Test	END	1727378203866
USER	Pokemon API Test	START	1727378203866
REQUEST		Get Pikachu	1727378203463	1727378203889	OK	 
USER	Pokemon API Test	END	1727378203891
USER	Pokemon API Test	START	1727378203892
REQUEST		Get Pikachu	1727378203691	1727378204015	OK	 
USER	Pokemon API Test	END	1727378204017
USER	Pokemon API Test	START	1727378204018
REQUEST		Get Pikachu	1727378203798	1727378204190	OK	 
USER	Pokemon API Test	END	1727378204192
USER	Pokemon API Test	START	1727378204193
REQUEST		Get Pikachu	1727378203865	1727378204210	OK	 
USER	Pokemon API Test	END	1727378204212
USER	Pokemon API Test	START	1727378204212
REQUEST		Get Pikachu	1727378203867	1727378204215	OK	 
USER	Pokemon API Test	END	1727378204217
USER	Pokemon API Test	START	1727378204217
REQUEST		Get Pikachu	1727378204018	1727378204325	OK	 
USER	Pokemon API Test	END	1727378204327
USER	Pokemon API Test	START	1727378204327
REQUEST		Get Pikachu	1727378203892	1727378204429	OK	 
USER	Pokemon API Test	END	1727378204431
USER	Pokemon API Test	START	1727378204431
REQUEST		Get Pikachu	1727378204217	1727378204491	OK	 
USER	Pokemon API Test	END	1727378204493
USER	Pokemon API Test	START	1727378204493
REQUEST		Get Pikachu	1727378204327	1727378204524	OK	 
USER	Pokemon API Test	END	1727378204525
USER	Pokemon API Test	START	1727378204525
REQUEST		Get Pikachu	1727378204193	1727378204525	OK	 
USER	Pokemon API Test	END	1727378204529
USER	Pokemon API Test	START	1727378204529
REQUEST		Get Pikachu	1727378204213	1727378204607	OK	 
USER	Pokemon API Test	END	1727378204609
USER	Pokemon API Test	START	1727378204609
REQUEST		Get Pikachu	1727378204431	1727378204697	OK	 
USER	Pokemon API Test	END	1727378204698
USER	Pokemon API Test	START	1727378204699
REQUEST		Get Pikachu	1727378204529	1727378204806	OK	 
USER	Pokemon API Test	END	1727378204809
USER	Pokemon API Test	START	1727378204810
REQUEST		Get Pikachu	1727378204610	1727378204824	OK	 
USER	Pokemon API Test	END	1727378204826
USER	Pokemon API Test	START	1727378204826
REQUEST		Get Pikachu	1727378204494	1727378204826	OK	 
USER	Pokemon API Test	END	1727378204831
USER	Pokemon API Test	START	1727378204832
REQUEST		Get Pikachu	1727378204526	1727378204861	OK	 
USER	Pokemon API Test	END	1727378204863
USER	Pokemon API Test	START	1727378204864
REQUEST		Get Pikachu	1727378204699	1727378204961	OK	 
USER	Pokemon API Test	END	1727378204964
USER	Pokemon API Test	START	1727378204964
REQUEST		Get Pikachu	1727378204864	1727378205058	OK	 
USER	Pokemon API Test	END	1727378205059
USER	Pokemon API Test	START	1727378205059
REQUEST		Get Pikachu	1727378204832	1727378205132	OK	 
REQUEST		Get Pikachu	1727378204827	1727378205132	OK	 
USER	Pokemon API Test	END	1727378205134
USER	Pokemon API Test	END	1727378205134
USER	Pokemon API Test	START	1727378205134
USER	Pokemon API Test	START	1727378205134
REQUEST		Get Pikachu	1727378204810	1727378205147	OK	 
USER	Pokemon API Test	END	1727378205149
USER	Pokemon API Test	START	1727378205150
REQUEST		Get Pikachu	1727378204964	1727378205276	OK	 
USER	Pokemon API Test	END	1727378205278
USER	Pokemon API Test	START	1727378205278
REQUEST		Get Pikachu	1727378205150	1727378205394	OK	 
USER	Pokemon API Test	END	1727378205397
USER	Pokemon API Test	START	1727378205397
REQUEST		Get Pikachu	1727378205059	1727378205420	OK	 
USER	Pokemon API Test	END	1727378205424
USER	Pokemon API Test	START	1727378205424
REQUEST		Get Pikachu	1727378205134	1727378205462	OK	 
USER	Pokemon API Test	END	1727378205466
USER	Pokemon API Test	START	1727378205467
REQUEST		Get Pikachu	1727378205134	1727378205478	OK	 
USER	Pokemon API Test	END	1727378205480
USER	Pokemon API Test	START	1727378205480
REQUEST		Get Pikachu	1727378205480	1727378205682	OK	 
USER	Pokemon API Test	END	1727378205683
REQUEST		Get Pikachu	1727378205425	1727378205749	OK	 
USER	Pokemon API Test	END	1727378205751
REQUEST		Get Pikachu	1727378205467	1727378205757	OK	 
USER	Pokemon API Test	END	1727378205760
REQUEST		Get Pikachu	1727378205397	1727378205817	OK	 
USER	Pokemon API Test	END	1727378205819
REQUEST		Get Pikachu	1727378205278	1727378206047	OK	 
USER	Pokemon API Test	END	1727378206049
