RUN	pokemonapi.PokemonApiTest	pokemonapitest	1720479371631	 	3.11.3
REQUEST		Get Pikachu	1720479373371	1720479373466	OK	 
USER	Pokemon API Test	END	1720479373495
USER	Pokemon API Test	START	1720479373495
USER	Pokemon API Test	START	1720479373496
REQUEST		Get Pikachu	1720479373484	1720479373524	OK	 
USER	Pokemon API Test	END	1720479373526
REQUEST		Get Pikachu	1720479373462	1720479373521	OK	 
USER	Pokemon API Test	END	1720479373528
USER	Pokemon API Test	START	1720479373528
REQUEST		Get Pikachu	1720479373469	1720479373525	OK	 
USER	Pokemon API Test	END	1720479373531
USER	Pokemon API Test	START	1720479373531
REQUEST		Get Pikachu	1720479373476	1720479373530	OK	 
USER	Pokemon API Test	END	1720479373535
USER	Pokemon API Test	START	1720479373535
USER	Pokemon API Test	START	1720479373528
REQUEST		Get Pikachu	1720479373475	1720479373535	OK	 
USER	Pokemon API Test	END	1720479373584
USER	Pokemon API Test	START	1720479373585
REQUEST		Get Pikachu	1720479373497	1720479373589	OK	 
USER	Pokemon API Test	END	1720479373591
USER	Pokemon API Test	START	1720479373591
REQUEST		Get Pikachu	1720479373496	1720479373600	OK	 
USER	Pokemon API Test	END	1720479373605
REQUEST		Get Pikachu	1720479373485	1720479373602	OK	 
USER	Pokemon API Test	END	1720479373607
USER	Pokemon API Test	START	1720479373607
REQUEST		Get Pikachu	1720479373487	1720479373603	OK	 
USER	Pokemon API Test	END	1720479373610
USER	Pokemon API Test	START	1720479373610
REQUEST		Get Pikachu	1720479373486	1720479373591	OK	 
REQUEST		Get Pikachu	1720479373586	1720479373623	OK	 
USER	Pokemon API Test	START	1720479373625
USER	Pokemon API Test	END	1720479373625
USER	Pokemon API Test	END	1720479373625
USER	Pokemon API Test	START	1720479373625
USER	Pokemon API Test	START	1720479373625
REQUEST		Get Pikachu	1720479373528	1720479373634	OK	 
USER	Pokemon API Test	END	1720479373642
USER	Pokemon API Test	START	1720479373643
REQUEST		Get Pikachu	1720479373538	1720479373641	OK	 
USER	Pokemon API Test	END	1720479373648
USER	Pokemon API Test	START	1720479373649
REQUEST		Get Pikachu	1720479373592	1720479373649	OK	 
USER	Pokemon API Test	END	1720479373653
USER	Pokemon API Test	START	1720479373654
REQUEST		Get Pikachu	1720479373532	1720479373654	OK	 
USER	Pokemon API Test	END	1720479373660
USER	Pokemon API Test	START	1720479373660
REQUEST		Get Pikachu	1720479373610	1720479373674	OK	 
REQUEST		Get Pikachu	1720479373535	1720479373666	OK	 
USER	Pokemon API Test	END	1720479373682
USER	Pokemon API Test	END	1720479373683
USER	Pokemon API Test	START	1720479373684
REQUEST		Get Pikachu	1720479373628	1720479373695	OK	 
USER	Pokemon API Test	START	1720479373704
REQUEST		Get Pikachu	1720479373625	1720479373706	OK	 
USER	Pokemon API Test	END	1720479373707
USER	Pokemon API Test	END	1720479373708
USER	Pokemon API Test	START	1720479373708
USER	Pokemon API Test	START	1720479373712
REQUEST		Get Pikachu	1720479373608	1720479373709	OK	 
USER	Pokemon API Test	END	1720479373754
REQUEST		Get Pikachu	1720479373661	1720479373755	OK	 
USER	Pokemon API Test	END	1720479373756
USER	Pokemon API Test	START	1720479373757
REQUEST		Get Pikachu	1720479373626	1720479373754	OK	 
USER	Pokemon API Test	END	1720479373760
REQUEST		Get Pikachu	1720479373654	1720479373745	OK	 
USER	Pokemon API Test	END	1720479373761
USER	Pokemon API Test	START	1720479373761
USER	Pokemon API Test	START	1720479373765
REQUEST		Get Pikachu	1720479373686	1720479373762	OK	 
USER	Pokemon API Test	END	1720479373766
USER	Pokemon API Test	START	1720479373766
REQUEST		Get Pikachu	1720479373659	1720479373758	OK	 
USER	Pokemon API Test	END	1720479373767
USER	Pokemon API Test	START	1720479373768
USER	Pokemon API Test	START	1720479373768
REQUEST		Get Pikachu	1720479373655	1720479373769	OK	 
USER	Pokemon API Test	END	1720479373774
USER	Pokemon API Test	START	1720479373774
REQUEST		Get Pikachu	1720479373712	1720479373776	OK	 
USER	Pokemon API Test	END	1720479373780
USER	Pokemon API Test	START	1720479373781
REQUEST		Get Pikachu	1720479373758	1720479373791	OK	 
USER	Pokemon API Test	END	1720479373793
USER	Pokemon API Test	START	1720479373793
REQUEST		Get Pikachu	1720479373753	1720479373796	OK	 
USER	Pokemon API Test	END	1720479373802
USER	Pokemon API Test	START	1720479373802
REQUEST		Get Pikachu	1720479373766	1720479373815	OK	 
REQUEST		Get Pikachu	1720479373712	1720479373817	OK	 
REQUEST		Get Pikachu	1720479373762	1720479373812	OK	 
REQUEST		Get Pikachu	1720479373767	1720479373814	OK	 
REQUEST		Get Pikachu	1720479373769	1720479373841	OK	 
USER	Pokemon API Test	END	1720479373842
USER	Pokemon API Test	END	1720479373850
USER	Pokemon API Test	START	1720479373856
REQUEST		Get Pikachu	1720479373781	1720479373867	OK	 
USER	Pokemon API Test	END	1720479373879
USER	Pokemon API Test	END	1720479373879
USER	Pokemon API Test	END	1720479373880
USER	Pokemon API Test	START	1720479373880
USER	Pokemon API Test	END	1720479373880
REQUEST		Get Pikachu	1720479373802	1720479373877	OK	 
USER	Pokemon API Test	START	1720479373885
USER	Pokemon API Test	START	1720479373886
USER	Pokemon API Test	START	1720479373892
USER	Pokemon API Test	END	1720479373892
REQUEST		Get Pikachu	1720479373768	1720479373893	OK	 
USER	Pokemon API Test	START	1720479373899
REQUEST		Get Pikachu	1720479373781	1720479373899	OK	 
USER	Pokemon API Test	END	1720479373910
USER	Pokemon API Test	START	1720479373910
USER	Pokemon API Test	END	1720479373911
USER	Pokemon API Test	START	1720479373911
USER	Pokemon API Test	START	1720479373912
REQUEST		Get Pikachu	1720479373794	1720479373905	OK	 
USER	Pokemon API Test	END	1720479373917
USER	Pokemon API Test	START	1720479373917
REQUEST		Get Pikachu	1720479373890	1720479373931	OK	 
USER	Pokemon API Test	END	1720479373938
USER	Pokemon API Test	START	1720479373940
REQUEST		Get Pikachu	1720479373888	1720479373955	OK	 
USER	Pokemon API Test	END	1720479373961
USER	Pokemon API Test	START	1720479373961
REQUEST		Get Pikachu	1720479373889	1720479373958	OK	 
USER	Pokemon API Test	END	1720479373964
REQUEST		Get Pikachu	1720479373885	1720479373954	OK	 
USER	Pokemon API Test	END	1720479373965
USER	Pokemon API Test	START	1720479373965
USER	Pokemon API Test	START	1720479373966
REQUEST		Get Pikachu	1720479373916	1720479373977	OK	 
REQUEST		Get Pikachu	1720479373942	1720479373982	OK	 
USER	Pokemon API Test	END	1720479373983
USER	Pokemon API Test	END	1720479373983
USER	Pokemon API Test	START	1720479373983
REQUEST		Get Pikachu	1720479373930	1720479373980	OK	 
REQUEST		Get Pikachu	1720479373942	1720479373992	OK	 
USER	Pokemon API Test	START	1720479373993
USER	Pokemon API Test	END	1720479373994
REQUEST		Get Pikachu	1720479373911	1720479373992	OK	 
USER	Pokemon API Test	END	1720479373997
REQUEST		Get Pikachu	1720479373912	1720479373996	OK	 
USER	Pokemon API Test	END	1720479374000
USER	Pokemon API Test	START	1720479374001
USER	Pokemon API Test	END	1720479374001
USER	Pokemon API Test	START	1720479374001
REQUEST		Get Pikachu	1720479373911	1720479374006	OK	 
USER	Pokemon API Test	START	1720479374011
USER	Pokemon API Test	START	1720479374026
USER	Pokemon API Test	END	1720479374027
REQUEST		Get Pikachu	1720479373965	1720479374032	OK	 
USER	Pokemon API Test	END	1720479374038
USER	Pokemon API Test	START	1720479374039
REQUEST		Get Pikachu	1720479373962	1720479374038	OK	 
USER	Pokemon API Test	END	1720479374043
USER	Pokemon API Test	START	1720479374043
USER	Pokemon API Test	START	1720479374046
REQUEST		Get Pikachu	1720479373967	1720479374050	OK	 
USER	Pokemon API Test	END	1720479374055
USER	Pokemon API Test	START	1720479374055
REQUEST		Get Pikachu	1720479373994	1720479374059	OK	 
USER	Pokemon API Test	END	1720479374060
USER	Pokemon API Test	START	1720479374060
REQUEST		Get Pikachu	1720479374001	1720479374058	OK	 
USER	Pokemon API Test	END	1720479374062
USER	Pokemon API Test	START	1720479374063
REQUEST		Get Pikachu	1720479374039	1720479374070	OK	 
USER	Pokemon API Test	END	1720479374072
USER	Pokemon API Test	START	1720479374072
REQUEST		Get Pikachu	1720479374025	1720479374083	OK	 
USER	Pokemon API Test	END	1720479374097
REQUEST		Get Pikachu	1720479374025	1720479374089	OK	 
REQUEST		Get Pikachu	1720479373995	1720479374091	OK	 
USER	Pokemon API Test	END	1720479374103
USER	Pokemon API Test	START	1720479374104
REQUEST		Get Pikachu	1720479374046	1720479374100	OK	 
REQUEST		Get Pikachu	1720479374043	1720479374100	OK	 
USER	Pokemon API Test	END	1720479374105
USER	Pokemon API Test	END	1720479374105
USER	Pokemon API Test	START	1720479374105
USER	Pokemon API Test	START	1720479374105
USER	Pokemon API Test	START	1720479374105
USER	Pokemon API Test	END	1720479374106
USER	Pokemon API Test	START	1720479374107
REQUEST		Get Pikachu	1720479374060	1720479374116	OK	 
USER	Pokemon API Test	END	1720479374120
USER	Pokemon API Test	START	1720479374122
REQUEST		Get Pikachu	1720479374063	1720479374123	OK	 
USER	Pokemon API Test	END	1720479374125
USER	Pokemon API Test	START	1720479374125
REQUEST		Get Pikachu	1720479374056	1720479374117	OK	 
USER	Pokemon API Test	END	1720479374134
USER	Pokemon API Test	START	1720479374134
REQUEST		Get Pikachu	1720479374073	1720479374137	OK	 
USER	Pokemon API Test	END	1720479374142
USER	Pokemon API Test	START	1720479374142
REQUEST		Get Pikachu	1720479374109	1720479374153	OK	 
USER	Pokemon API Test	END	1720479374155
USER	Pokemon API Test	START	1720479374156
REQUEST		Get Pikachu	1720479374026	1720479374146	OK	 
USER	Pokemon API Test	END	1720479374160
USER	Pokemon API Test	START	1720479374160
REQUEST		Get Pikachu	1720479374105	1720479374162	OK	 
USER	Pokemon API Test	END	1720479374168
USER	Pokemon API Test	START	1720479374168
REQUEST		Get Pikachu	1720479374105	1720479374165	OK	 
USER	Pokemon API Test	END	1720479374170
USER	Pokemon API Test	START	1720479374171
REQUEST		Get Pikachu	1720479374136	1720479374180	OK	 
USER	Pokemon API Test	END	1720479374185
REQUEST		Get Pikachu	1720479374142	1720479374174	OK	 
USER	Pokemon API Test	END	1720479374186
USER	Pokemon API Test	START	1720479374186
USER	Pokemon API Test	START	1720479374186
REQUEST		Get Pikachu	1720479374106	1720479374175	OK	 
USER	Pokemon API Test	END	1720479374187
USER	Pokemon API Test	START	1720479374187
REQUEST		Get Pikachu	1720479374126	1720479374188	OK	 
USER	Pokemon API Test	END	1720479374197
USER	Pokemon API Test	START	1720479374197
REQUEST		Get Pikachu	1720479374110	1720479374202	OK	 
USER	Pokemon API Test	END	1720479374207
USER	Pokemon API Test	START	1720479374207
REQUEST		Get Pikachu	1720479374123	1720479374202	OK	 
USER	Pokemon API Test	END	1720479374211
USER	Pokemon API Test	START	1720479374211
REQUEST		Get Pikachu	1720479374168	1720479374211	OK	 
REQUEST		Get Pikachu	1720479374161	1720479374212	OK	 
USER	Pokemon API Test	END	1720479374217
USER	Pokemon API Test	END	1720479374217
USER	Pokemon API Test	START	1720479374217
USER	Pokemon API Test	START	1720479374218
REQUEST		Get Pikachu	1720479374156	1720479374224	OK	 
USER	Pokemon API Test	END	1720479374228
USER	Pokemon API Test	START	1720479374228
REQUEST		Get Pikachu	1720479374171	1720479374219	OK	 
USER	Pokemon API Test	END	1720479374243
REQUEST		Get Pikachu	1720479374211	1720479374243	OK	 
USER	Pokemon API Test	END	1720479374244
REQUEST		Get Pikachu	1720479374187	1720479374238	OK	 
USER	Pokemon API Test	END	1720479374248
USER	Pokemon API Test	START	1720479374248
USER	Pokemon API Test	START	1720479374248
REQUEST		Get Pikachu	1720479374187	1720479374243	OK	 
USER	Pokemon API Test	END	1720479374249
USER	Pokemon API Test	START	1720479374250
REQUEST		Get Pikachu	1720479374188	1720479374249	OK	 
USER	Pokemon API Test	END	1720479374250
USER	Pokemon API Test	START	1720479374251
USER	Pokemon API Test	START	1720479374251
REQUEST		Get Pikachu	1720479374197	1720479374252	OK	 
USER	Pokemon API Test	END	1720479374257
USER	Pokemon API Test	START	1720479374258
REQUEST		Get Pikachu	1720479374218	1720479374262	OK	 
USER	Pokemon API Test	END	1720479374269
USER	Pokemon API Test	START	1720479374269
REQUEST		Get Pikachu	1720479374229	1720479374281	OK	 
USER	Pokemon API Test	END	1720479374285
REQUEST		Get Pikachu	1720479374208	1720479374276	OK	 
USER	Pokemon API Test	END	1720479374286
USER	Pokemon API Test	START	1720479374286
USER	Pokemon API Test	START	1720479374288
REQUEST		Get Pikachu	1720479374217	1720479374295	OK	 
USER	Pokemon API Test	END	1720479374299
REQUEST		Get Pikachu	1720479374248	1720479374300	OK	 
USER	Pokemon API Test	END	1720479374301
REQUEST		Get Pikachu	1720479374269	1720479374304	OK	 
USER	Pokemon API Test	END	1720479374305
REQUEST		Get Pikachu	1720479374251	1720479374296	OK	 
USER	Pokemon API Test	END	1720479374306
USER	Pokemon API Test	START	1720479374306
USER	Pokemon API Test	START	1720479374310
REQUEST		Get Pikachu	1720479374251	1720479374302	OK	 
USER	Pokemon API Test	END	1720479374313
USER	Pokemon API Test	START	1720479374314
USER	Pokemon API Test	START	1720479374315
REQUEST		Get Pikachu	1720479374251	1720479374306	OK	 
USER	Pokemon API Test	END	1720479374317
USER	Pokemon API Test	START	1720479374317
USER	Pokemon API Test	START	1720479374318
REQUEST		Get Pikachu	1720479374250	1720479374318	OK	 
USER	Pokemon API Test	END	1720479374325
USER	Pokemon API Test	START	1720479374325
REQUEST		Get Pikachu	1720479374258	1720479374328	OK	 
USER	Pokemon API Test	END	1720479374333
USER	Pokemon API Test	START	1720479374333
REQUEST		Get Pikachu	1720479374314	1720479374348	OK	 
USER	Pokemon API Test	END	1720479374350
USER	Pokemon API Test	START	1720479374350
REQUEST		Get Pikachu	1720479374307	1720479374354	OK	 
USER	Pokemon API Test	END	1720479374360
REQUEST		Get Pikachu	1720479374288	1720479374359	OK	 
USER	Pokemon API Test	START	1720479374380
USER	Pokemon API Test	END	1720479374387
USER	Pokemon API Test	START	1720479374389
REQUEST		Get Pikachu	1720479374321	1720479374386	OK	 
USER	Pokemon API Test	END	1720479374392
REQUEST		Get Pikachu	1720479374295	1720479374359	OK	 
USER	Pokemon API Test	END	1720479374392
USER	Pokemon API Test	START	1720479374393
USER	Pokemon API Test	START	1720479374393
REQUEST		Get Pikachu	1720479374315	1720479374382	OK	 
REQUEST		Get Pikachu	1720479374333	1720479374393	OK	 
USER	Pokemon API Test	END	1720479374394
REQUEST		Get Pikachu	1720479374317	1720479374387	OK	 
USER	Pokemon API Test	END	1720479374396
USER	Pokemon API Test	START	1720479374397
USER	Pokemon API Test	END	1720479374397
USER	Pokemon API Test	START	1720479374398
REQUEST		Get Pikachu	1720479374311	1720479374395	OK	 
USER	Pokemon API Test	END	1720479374405
USER	Pokemon API Test	START	1720479374406
USER	Pokemon API Test	START	1720479374406
REQUEST		Get Pikachu	1720479374326	1720479374405	OK	 
USER	Pokemon API Test	END	1720479374410
USER	Pokemon API Test	START	1720479374410
REQUEST		Get Pikachu	1720479374395	1720479374442	OK	 
USER	Pokemon API Test	END	1720479374443
REQUEST		Get Pikachu	1720479374351	1720479374441	OK	 
USER	Pokemon API Test	END	1720479374446
USER	Pokemon API Test	START	1720479374446
USER	Pokemon API Test	START	1720479374448
REQUEST		Get Pikachu	1720479374397	1720479374446	OK	 
USER	Pokemon API Test	END	1720479374450
REQUEST		Get Pikachu	1720479374397	1720479374441	OK	 
USER	Pokemon API Test	START	1720479374451
USER	Pokemon API Test	END	1720479374452
USER	Pokemon API Test	START	1720479374452
REQUEST		Get Pikachu	1720479374406	1720479374455	OK	 
REQUEST		Get Pikachu	1720479374395	1720479374457	OK	 
USER	Pokemon API Test	END	1720479374461
USER	Pokemon API Test	START	1720479374461
REQUEST		Get Pikachu	1720479374399	1720479374456	OK	 
USER	Pokemon API Test	END	1720479374464
USER	Pokemon API Test	START	1720479374465
REQUEST		Get Pikachu	1720479374406	1720479374458	OK	 
USER	Pokemon API Test	END	1720479374466
REQUEST		Get Pikachu	1720479374389	1720479374462	OK	 
USER	Pokemon API Test	START	1720479374466
USER	Pokemon API Test	END	1720479374466
USER	Pokemon API Test	START	1720479374466
USER	Pokemon API Test	END	1720479374467
USER	Pokemon API Test	START	1720479374467
REQUEST		Get Pikachu	1720479374411	1720479374470	OK	 
USER	Pokemon API Test	END	1720479374471
USER	Pokemon API Test	START	1720479374472
REQUEST		Get Pikachu	1720479374462	1720479374491	OK	 
USER	Pokemon API Test	END	1720479374493
USER	Pokemon API Test	START	1720479374494
REQUEST		Get Pikachu	1720479374472	1720479374514	OK	 
REQUEST		Get Pikachu	1720479374452	1720479374510	OK	 
REQUEST		Get Pikachu	1720479374448	1720479374507	OK	 
REQUEST		Get Pikachu	1720479374451	1720479374520	OK	 
REQUEST		Get Pikachu	1720479374466	1720479374526	OK	 
USER	Pokemon API Test	END	1720479374530
REQUEST		Get Pikachu	1720479374467	1720479374527	OK	 
USER	Pokemon API Test	END	1720479374532
USER	Pokemon API Test	START	1720479374532
USER	Pokemon API Test	START	1720479374534
USER	Pokemon API Test	END	1720479374535
USER	Pokemon API Test	END	1720479374535
USER	Pokemon API Test	END	1720479374535
USER	Pokemon API Test	END	1720479374535
USER	Pokemon API Test	START	1720479374535
